ID,Subestación de Poder,Alimentador,Zona Mantenimiento,SED,Nombre,Kva Etdtrafo,Clientes,Netbilling,Electrodependientes,Ordenes SAP,Avisos SAP,Solicitudes Daño Individual,Solicitudes SEC SERNAC,Solicitudes DOM,Presentaciones,Interrupciones BT
3408,San Pedro,Limache,Quillota,30347,Eastman Madariaga,150.00 kVA,81,,,,,5,,,,1
3409,Las Vegas,Llay Llay,Los Andes,42272,Loteo Eliecer Estay,75.00 kVA,38,,1,,,1,,,,1
3410,Quilpué,Marga Marga,Marga Marga,22451,Rio Maullin Rio Tolten,75.00 kVA,13,,,,,2,,2,,20
3411,Playa Ancha,La Pólvora,valparaiso,10445,Curaumilla Nº 4,45.00 kVA,111,,,,,29,,13,,
3412,Quilpué,Villa Alemana,Marga Marga,20871,Casano El Rocio,75.00 kVA,134,,1,,,8,,4,1,
3413,El Melón,Nogales,Quillota,20728,Los Maquis # 1,15.00 kVA,23,,,,,17,,5,,
3414,Mayaca,Prat,Quillota,30039,Chacabuco Blanco,300.00 kVA,95,,,,,19,,5,,
3415,Bosquemar,Manatiales,Costa,23980,SED J. Yañez J. Zapiola,75.00 kVA,64,,,,,6,,2,,1
3416,Mayaca,Pocochay,Quillota,30093,Sta Laura La Palma,75.00 kVA,79,,,,,24,,6,,
3417,San Antonio,Barrancas,San Antonio,50889,AV EL PARQUE LAS GAVIOTAS,45.00 kVA,20,,,,,6,,2,,1
3418,Miraflores,Salinas,Costa,20014,Achupallas 14,75.00 kVA,96,,1,2,1,13,,2,,3
3419,San Pedro,Pachacama,Quillota,31133,Los Soilen Vista Hermosa N°2,30.00 kVA,12,,,,,17,,2,1,1
3420,San Pedro,Pachacama,Quillota,30467,Los Tilos Romeral 1,30.00 kVA,21,,,,,7,,1,,1
3421,San Pedro,Lliu Lliu,Quillota,30437,J Garrido Jacaranda,75.00 kVA,120,,1,,,3,,2,,
3422,Quilpué,Belloto,Marga Marga,21051,Los Carreras El Ocaso,75.00 kVA,133,,,,,10,,1,1,1
3423,Reñaca,Jorge Montt,Costa,20136,Las Cañitas 15,150.00 kVA,117,3,,,,28,,4,1,1
3424,San Pedro,Olmué,Quillota,31296,Las Lilas Lo Narvaez,15.00 kVA,21,,,,,4,,2,,1
3425,Quintero,Loncura,Costa,21892,Las Gaviotas Parcela 36,75.00 kVA,19,,,,,8,,2,3,1
3426,Quilpué,Villa Alemana,Marga Marga,22532,El Rocio Nueva Porvenir,150.00 kVA,158,,1,,,2,,2,1,
3427,San Antonio,San Juan,San Antonio,50841,Las Loicas Centro,150.00 kVA,99,,,,,9,,1,,
3428,San Antonio,San Juan,San Antonio,50686,Las Salinas Zoilo Fuentealba,15.00 kVA,11,,,,,13,,4,1,1
3429,Quilpué,Marga Marga,Marga Marga,22111,Lomas de Bellavista,75.00 kVA,33,,,,,25,,6,,6
3430,Peñablanca,El Rincón,Marga Marga,20886,Santa Sarah El Abanderado,150.00 kVA,264,,,,,13,,1,1,
3431,Mayaca,Prat,Quillota,30548,Freire Pob Tahiti,75.00 kVA,78,,,,,10,,3,,1
3432,Reñaca,Reñaca,Costa,20158,Montemar,300.00 kVA,116,,2,,,6,,3,,2
3433,San Rafael,Las Juntas,Los Andes,40886,La Guirana canto,30.00 kVA,16,,,,,4,,1,1,1
3434,Valparaíso,Expreso Baquedano,valparaiso,10834,Independencia Uruguay,500.00 kVA,354,,,,,8,,4,,
3435,La Calera,La Palmilla,Quillota,30061,Pocochay La Fortuna,75.00 kVA,29,1,,,,10,,2,1,
3436,Mayaca,Pocochay,Quillota,31350,Conj Habit Terracruz 2,100.00 kVA,58,,,,,3,,2,,
3437,Valparaíso,Uruguay,valparaiso,10004,Avenida Alemania Osman Perez Freire,150.00 kVA,101,,,,,13,,6,1,2
3438,San Pedro,Olmué,Quillota,31922,Camino Las Piedras,45.00 kVA,13,,,,,7,,2,,2
3439,Concón,Refinería,Costa,20948,Parcela Torquemada,15.00 kVA,8,,,,,36,,3,3,10
3440,Reñaca,Montemar,Costa,20386,Cladonia Tonicia,75.00 kVA,94,,,,,19,,4,2,1
3441,San Antonio,Aguas Buenas,San Antonio,51707,SED CUMBRES DE MIRAMAAR II,100.00 kVA,203,,,,,10,,2,,
3442,Peñablanca,El Rincón,Marga Marga,20733,Amunategui Valparaiso,150.00 kVA,78,,,,,12,,5,,1
3443,Peñablanca,El Rincón,Marga Marga,22499,Las Acacias 1,150.00 kVA,104,,,,,6,,2,2,
3444,Placeres,Agua Santa,valparaiso,10414,Av Matta Rada,100.00 kVA,78,,1,,,27,,15,,1
3445,San Pedro,Olmué,Quillota,30973,General Prieto Esmeralda,75.00 kVA,47,,,,,10,,2,,1
3446,Placilla,Curauma,valparaiso,10461,Octava Central,100.00 kVA,61,,1,,,23,,7,2,4
3447,San Rafael,Los Andes,Los Andes,42850,SED El Llano II y III,100.00 kVA,74,,,,,2,,1,,
3448,Quilpué,Freire,Marga Marga,23131,Pasaje 3 Pasaje 4,150.00 kVA,195,,,,,9,,4,,
3449,San Pedro,Pachacama,Quillota,30221,Los Pinos Romeral 2,75.00 kVA,41,,,,,6,,2,,
3450,La Calera,Hijuelas,Quillota,31324,Luis Laborda Altos del Valle,150.00 kVA,82,,,,,3,,1,,
3451,Bosquemar,Manatiales,Costa,22762,Las Encinas,75.00 kVA,62,,,,,16,,5,,
3452,San Pedro,Olmué,Quillota,30922,Granizo V D Silva,75.00 kVA,78,1,,,,20,,3,,
3453,Mayaca,Boco,Quillota,31226,O Higgins_La Concepción,150.00 kVA,92,,,,,29,,2,,1
3454,Peñablanca,El Rincón,Marga Marga,23900,LOURDES V,150.00 kVA,155,,,,,4,,2,1,
3455,Quilpué,El Carmen,Marga Marga,20592,Poblacion Los Naranjos,75.00 kVA,111,1,1,,,6,,3,2,
3456,Placilla,Bosque,valparaiso,10214,Seguna Del Sur Decima Quinta,300.00 kVA,82,,1,,,16,,6,1,3
3457,San Pedro,Lliu Lliu,Quillota,30419,Caserio Schneider,75.00 kVA,51,,,,,20,,2,2,1
3458,El Melón,Nogales,Quillota,30895,El Cristo Estero,150.00 kVA,47,,,,,3,,2,,
3459,Valparaíso,Uruguay,valparaiso,10456,Alberdi Gonzalo Bulnes,75.00 kVA,107,,,,,23,,4,,3
3460,San Sebastián,Cartagena,San Antonio,50490,QUILLAYCILLO NORTE,15.00 kVA,25,,,,,8,,2,,1
3461,Miraflores,Salinas,Costa,22547,Pomaire Curanilahue,75.00 kVA,73,,,,,11,,5,,3
3462,Concón,Refinería,Costa,20941,SE Lajarilla Parc 699,15.00 kVA,7,,,,,25,,13,2,9
3463,Peñablanca,Wilson,Marga Marga,23090,Baquedano Pje.Proyectada,45.00 kVA,88,,1,,,22,,5,1,
3464,Reñaca,Reñaca,Costa,20022,SED Angamos Blanco Encalada,500.00 kVA,170,,,,,25,,4,1,
3465,San Pedro,Lliu Lliu,Quillota,31279,Andres Bello Estero,75.00 kVA,58,1,1,,,5,,4,,
3466,San Pedro,Limache,Quillota,30747,Carrera Condell,45.00 kVA,58,,,,,5,,4,,
3467,San Pedro,Olmué,Quillota,32108,Granizo Irene Frei,75.00 kVA,34,,,,,8,,,,1
3468,San Pedro,Olmué,Quillota,31342,Las Palmas El Esfuerzo,30.00 kVA,34,,,,,11,,1,1,
3469,San Pedro,Olmué,Quillota,30833,Cond Sta Filomena,75.00 kVA,51,,,,,9,,,1,
3470,San Antonio,Llolleo,San Antonio,51331,SED MIRADOR DE BAQUEDANO,100.00 kVA,100,,,,,11,,4,,
3471,Mayaca,Prat,Quillota,30606,Alberdi Pinto,150.00 kVA,65,,1,1,1,14,,4,,1
3472,Placilla,Peñuelas,valparaiso,10367,Villa Fundadores Curauma 9,100.00 kVA,138,,,,,9,,6,2,
3473,Quintero,Loncura,Costa,23302,Las Varas,75.00 kVA,22,,,,,1,,,1,1
3474,Miraflores,Salinas,Costa,20053,Corcolen del Membrillo,150.00 kVA,145,1,,,,16,,7,,
3475,San Antonio,Barrancas,San Antonio,51369,SED GRISELDA EL VERGEL,75.00 kVA,16,1,,,,4,,2,2,
3476,San Rafael,El Almendral,Los Andes,42605,Loteo El Convento_A. Cifuentes,75.00 kVA,74,,,,,5,,3,1,
3477,Peñablanca,El Rincón,Marga Marga,22925,Leighton Jardin Oriente 2,100.00 kVA,153,,,,,36,,4,,
3478,Playa Ancha,La Pólvora,valparaiso,10374,Avenida Santa Maria  Recabarren,75.00 kVA,86,,,,,22,,6,2,2
3479,La Calera,Calera,Quillota,30979,La Torre JJ Perez,300.00 kVA,47,,,,,2,,2,,1
3480,San Felipe,Putaendo,Los Andes,42403,Las Coimas_Entrada,45.00 kVA,26,,,,,7,,,,1
3481,San Pedro,Lliu Lliu,Quillota,32204,18 de Septiembre Independencia,75.00 kVA,46,,,,,2,,2,,1
3482,Las Vegas,Santa Teresa,Los Andes,42248,Porvenir Oriente_Las Peñas,75.00 kVA,36,,,,,13,,3,,
3483,Panquehue,Panquehue,Los Andes,43319,El Mirador_Cerveceria,75.00 kVA,16,,,,,3,,2,,
3484,San Rafael,El Almendral,Los Andes,42597,Portones del Inca_Calle F,75.00 kVA,92,,,,,7,,4,,
3485,San Antonio,Pesqueras,San Antonio,50176,Pelancura N°2,75.00 kVA,12,,,,,10,,3,,10
3486,San Antonio,Pesqueras,San Antonio,50136,Barros Luco Septima Avenida,150.00 kVA,33,,,,,23,,6,,2
3487,San Antonio,Aguas Buenas,San Antonio,50181,Isla Lenox Isla Mocha,75.00 kVA,66,,,,,,,,,2
3488,Miraflores,Salinas,Costa,22393,SED Manuel Guerrero,45.00 kVA,56,,,,,33,,5,2,3
3489,Peñablanca,El Rincón,Marga Marga,20984,San Rafael San Marcos,150.00 kVA,152,,1,,,4,,4,,
3490,Reñaca,Costa Brava,Costa,20818,Las Bellotas Las Cinerarias,300.00 kVA,101,,,,,10,,3,,
3491,San Rafael,San Esteban,Los Andes,42612,Edificio Cond. Cumbre Aconcagua,500.00 kVA,111,,,,,5,,1,1,
3492,Valparaíso,Sauce,valparaiso,10458,Las Rosas Palqui,75.00 kVA,105,,,,,30,,7,,2
3493,San Rafael,Chacabuco,Los Andes,40173,Gregorio De La Fuente,37.50 kVA,24,,,,,5,,1,1,
3494,San Rafael,Los Andes,Los Andes,42312,Monasterio_Pasaje San Pedro,100.00 kVA,72,,,,,2,,1,,
3495,Placeres,Barón,valparaiso,10126,SED O Brien Yussef,150.00 kVA,227,,,,,20,,6,,
3496,El Melón,Nogales,Quillota,32230,Huellacanal El Poligono,15.00 kVA,23,1,,,,6,,4,,
3497,Miraflores,Achupallas,Costa,21093,Chile Formosa,300.00 kVA,250,,,,,23,,2,1,
3498,San Rafael,Las Juntas,Los Andes,42547,Condominio Tocornal 1_Oriente,75.00 kVA,46,,,,,2,,,1,
3499,San Rafael,Las Juntas,Los Andes,43142,Av. Llano_Av. Santa Teresa,45.00 kVA,46,,,,,,,,1,
3500,Miraflores,Achupallas,Costa,21956,SED C_Samore Pje_Combarbala,75.00 kVA,83,,,1,,14,,4,1,2
3501,Peñablanca,El Rincón,Marga Marga,23519,Los Maitenes-1,100.00 kVA,120,,,,,18,,3,1,
3502,Placeres,Barón,valparaiso,10648,SED Gabriela Mistral Lautaro,75.00 kVA,54,,,,,19,,12,2,3
3503,San Rafael,Centenario,Los Andes,42686,Av. Chile_Las Guayanas,100.00 kVA,47,,1,,,6,,4,,1
3504,Las Vegas,Llay Llay,Los Andes,42442,Juan Pablo II_Canal,75.00 kVA,53,,,,,3,,2,,
3505,Quilpué,Marga Marga,Marga Marga,21973,SED Santa Fe P. Kennedy,100.00 kVA,107,,,,,19,,5,1,
3506,La Calera,La Palmilla,Quillota,31526,21 de Mayo Punta Diamante,100.00 kVA,55,,1,,,3,,2,,
3507,Mayaca,Boco,Quillota,31915,21 de Mayo Arturo Merino,300.00 kVA,147,,,,,1,,,,1
3508,San Felipe,Tocornal,Los Andes,42188,Loteo Padre Pío 2,75.00 kVA,68,,,,,6,,1,,
3509,San Pedro,Olmué,Quillota,31136,Sturla Las Cruces,15.00 kVA,8,,,1,,19,,5,1,7
3510,Miraflores,Achupallas,Costa,22982,Hijos del Olivar,300.00 kVA,164,,,,,9,,4,1,
3511,San Antonio,Barrancas,San Antonio,50839,LOS LAURELES BORDEMAR,75.00 kVA,31,,,,,8,,,,1
3512,Placeres,Placeres,valparaiso,10311,Bari Principal,300.00 kVA,121,,,,,17,,5,,2
3513,San Pedro,Pachacama,Quillota,30788,Las Rosas Los Maitenes,15.00 kVA,26,,,,,7,,,,1
3514,San Antonio,Llolleo,San Antonio,51184,Colinas de Llolleo 3,75.00 kVA,48,,,,,1,,,1,2
3515,San Rafael,San Vicente,Los Andes,40726,Los Chacayes La Montera,10.00 kVA,18,,,,,7,,5,,
3516,Placeres,Placeres,valparaiso,10368,SED San Luis Carmen,300.00 kVA,221,,,,,9,,1,1,1
3517,San Felipe,Tocornal,Los Andes,42327,Amancay_El Castaño,75.00 kVA,89,,,,,6,,1,,1
3518,San Felipe,Tocornal,Los Andes,40220,Latorre Cerro,75.00 kVA,89,,,,,8,,2,1,
3519,Peñablanca,El Pangal,Quillota,30667,Cond Echaurren,75.00 kVA,74,,,,,4,,3,,
3520,San Pedro,Lliu Lliu,Quillota,31454,Concepcion Pje Los Alamos,75.00 kVA,111,,,,,4,,2,,
3521,Quilpué,Freire,Marga Marga,21210,Los Carreras Matilde,75.00 kVA,82,,,,,29,,6,,1
3522,Peñablanca,Huanhuali,Marga Marga,20563,Maturana Diaz,150.00 kVA,98,,1,,,7,,4,1,
3523,Miraflores,Salinas,Costa,21514,El Roble El Maiten,75.00 kVA,81,,,,,7,,3,3,1
3524,Playa Ancha,Tomás Ramos,valparaiso,10216,Simon Bolivar Bajo,150.00 kVA,110,,2,,,31,,7,1,1
3525,Quilpué,Paso Hondo,Marga Marga,21273,Matilde Troncal Sur,75.00 kVA,105,,,,,11,,2,1,1
3526,Quilpué,El Carmen,Marga Marga,22855,Berlin Los Maitenes 3,75.00 kVA,65,,,,,9,,6,,1
3527,San Pedro,Pachacama,Quillota,31390,Baden Norte Rabuco,45.00 kVA,11,,,1,,2,,1,,2
3528,San Pedro,Pachacama,Quillota,31004,Los Pinos _ Hidraulica,30.00 kVA,77,,,,,3,,1,,
3529,San Pedro,Olmué,Quillota,31154,La Ramayana Hidalgo 2,75.00 kVA,22,,,,,1,,1,,3
3530,San Pedro,Olmué,Quillota,31389,Av Granizo Las Acacias,100.00 kVA,55,1,,,,15,,4,,
3531,Mayaca,Prat,Quillota,30706,Chacabuco Freire,300.00 kVA,54,,,,,12,,5,,1
3532,Quilpué,El Sol,Marga Marga,23934,SED Pedro Montt Minerales,200.00 kVA,104,,,,,10,,2,1,1
3533,Playa Ancha,La Pólvora,valparaiso,10444,Curaumilla 3,75.00 kVA,87,,,,,32,,9,,2
3534,Reñaca,Glorias Navales,Costa,21382,SED Velazques Barahona,25.00 kVA,32,,,,,119,,4,1,8
3535,Quintero,Loncura,Costa,23082,Valle Del Estero 3,75.00 kVA,26,1,,,,8,,2,1,
3536,San Antonio,Las Brisas,San Antonio,50237,Huertos de Chile  Rapel,45.00 kVA,29,,,1,,9,,4,,3
3537,San Rafael,El Almendral,Los Andes,40640,Casas Chica La Troya,15.00 kVA,25,,,,,14,,2,,4
3538,San Felipe,Putaendo,Los Andes,40898,Vergara_Ortiz,45.00 kVA,50,,,,,5,,3,2,
3539,Placeres,Placilla,valparaiso,10131,O Higgins Riquelme,75.00 kVA,100,,,3,2,36,,5,1,2
3540,San Sebastián,Cartagena,San Antonio,50969,QUILLAYCILLO SUR,10.00 kVA,13,,,,,5,,4,1,1
3541,San Sebastián,Cartagena,San Antonio,51251,SED PJE PARROQUIAL LO ABARCA,75.00 kVA,39,,,,,3,,1,1,
3542,San Felipe,Tocornal,Los Andes,42608,La Higuera Norte,30.00 kVA,11,,,,,2,,1,1,1
3543,San Rafael,San Esteban,Los Andes,40961,Paidahuen Sur,75.00 kVA,11,,,,,17,,5,,1
3544,Valparaíso,Uruguay,valparaiso,10588,El Vergel Alto 2,100.00 kVA,118,,,,,22,,11,,
3545,Bosquemar,Manatiales,Costa,22093,Tierra del Fuego Magallanes,100.00 kVA,48,,,,,16,,6,,
3546,San Pedro,Said,Quillota,30796,Conj Hab Sendero 2,75.00 kVA,61,,,,,6,,4,,1
3547,San Rafael,El Almendral,Los Andes,40921,BDO. CRUZ LOS JAZMINES,75.00 kVA,58,,,,,12,,,,2
3548,Las Vegas,Santa Teresa,Los Andes,40410,Porvenir Oriente,37.50 kVA,34,,,,,6,,1,1,
3549,San Pedro,Olmué,Quillota,30424,Las Cruces Estero,30.00 kVA,31,,,,,10,,7,,
3550,Quilpué,Paso Hondo,Marga Marga,21763,Lomas de Paine Lomas de Lontue,150.00 kVA,103,,,,,10,,5,1,
3551,Reñaca,Reñaca,Costa,20696,Anibal Pinto Los Zargazos,300.00 kVA,119,,,,,8,,2,3,
3552,San Rafael,Las Juntas,Los Andes,42959,Sendero de Los Andes-G De La Fuente,75.00 kVA,63,,,,,16,,5,,
3553,San Pedro,Olmué,Quillota,31470,Callejon La Cruz Los Recos,30.00 kVA,36,,,,,7,,1,1,1
3554,San Rafael,San Esteban,Los Andes,40102,Las Juntas_Carlos Condell,100.00 kVA,157,,,,,6,,2,,
3555,Placeres,Placilla,valparaiso,10992,SED Kenrick Plaza II,500.00 kVA,143,,,,,25,,2,2,1
3556,Valparaíso,Brasil,valparaiso,10019,Avenida Argentina Nudo Baron,300.00 kVA,143,,,,,14,,9,,
3557,San Antonio,Aguas Buenas,San Antonio,50929,PJE ENCENADA SENO RELONCAVI,75.00 kVA,62,,,,,11,,1,1,1
3558,Concón,Expreso RPC,Costa,22801,Club Casamar 4,300.00 kVA,63,,,,,8,,3,,
3559,Reñaca,Costa Brava,Costa,23354,Las Pelargonias Blanca Estela II,500.00 kVA,57,,,,,17,,5,,
3560,Mayaca,Boco,Quillota,32014,21 de Mayo Los Arayanes,75.00 kVA,47,,,,,13,,4,1,1
3561,Placilla,Curauma,valparaiso,11613,Av. Obispo Valdes Cond. San Pablo Lote E,500.00 kVA,214,,,,,2,,1,1,1
3562,Quilpué,Marga Marga,Marga Marga,22351,SED ProyectadaTolten,45.00 kVA,11,,,,,40,,7,2,18
3563,Peñablanca,Huanhuali,Marga Marga,21214,Paul Harris Baquedano,150.00 kVA,57,,1,,,15,,1,,3
3564,Mayaca,Pocochay,Quillota,31625,Tucapel Alcazar de Toledo,75.00 kVA,35,,,,,3,,,,1
3565,Placeres,Placilla,valparaiso,10363,Las Torres Maria Figueroa,45.00 kVA,40,,,1,,50,,9,1,7
3566,Playa Ancha,La Pólvora,valparaiso,10768,Telégrafo El Crison,100.00 kVA,80,,,,,27,,14,1,
3567,San Felipe,Tocornal,Los Andes,40564,C. Santa Filomena_Lo Galdamez,30.00 kVA,13,,,,,4,,2,,1
3568,Quintero,Loncura,Costa,21787,SED Altomar 1,500.00 kVA,102,,,,,4,,1,,
3569,San Rafael,San Rafael,Los Andes,40158,El Bosque San Rafael,37.50 kVA,24,1,,,,1,,,2,3
3570,San Rafael,Centenario,Los Andes,42232,Loteo Jardín Andino,75.00 kVA,52,,,,,9,,3,,1
3571,La Calera,La Cruz,Quillota,32002,Condominio Ravello 1,150.00 kVA,109,,,,,2,,2,,
3572,San Pedro,Lliu Lliu,Quillota,30621,Rauten Casas Viejas,45.00 kVA,20,,,1,1,37,,5,2,4
3573,San Antonio,San Antonio,San Antonio,50657,Mauricio Mena Balmaceda,300.00 kVA,46,,,,,8,,5,,1
3574,San Antonio,Aguas Buenas,San Antonio,51205,SED M.Mott Los Juncos,75.00 kVA,92,,,,,3,,2,1,
3575,Playa Ancha,Playa Ancha,valparaiso,10404,Republica Municipio,75.00 kVA,106,,,,,21,,7,1,1
3576,San Pedro,Limache,Quillota,31972,San Martin Caupolican,75.00 kVA,71,,,,,9,,1,1,
3577,Valparaíso,Independencia,valparaiso,10459,Colon Buenos Aires,500.00 kVA,127,,,,,19,,8,1,
3578,Catemu,Catemu,Los Andes,40483,El Pimiento_Las Varillas,30.00 kVA,19,,,,,5,,3,,
3579,San Felipe,Putaendo,Los Andes,40273,La Ermita,37.50 kVA,36,,,,,3,,2,,
3580,San Antonio,Llolleo,San Antonio,51182,Colinas de Llolleo 1,100.00 kVA,183,,,,,3,,,1,
3581,Reñaca,Reñaca,Costa,23201,Condominio Brisa,300.00 kVA,133,3,,,,10,,3,2,
3582,Quilpué,Quilpué,Marga Marga,20431,Berna Granada,75.00 kVA,88,1,,,,22,,2,,2
3583,Mayaca,Boco,Quillota,32219,Av Valparaiso Doña Raquel,150.00 kVA,104,,,,,4,,2,1,
3584,Quilpué,El Carmen,Marga Marga,21744,SED Rahue llanquihue,100.00 kVA,93,,,,,2,,1,1,1
3585,San Antonio,San Juan,San Antonio,50289,Cerro San Luis,45.00 kVA,33,,,1,,13,,2,,3
3586,San Pedro,Lliu Lliu,Quillota,30265,Los Laureles El Peumo,37.50 kVA,42,,,,,11,,5,,
3587,San Pedro,Limache,Quillota,30253,Serrano Condell,150.00 kVA,70,,,1,,5,,3,,
3588,Peñablanca,El Pangal,Quillota,31213,Pob Interior Lliu Lliu,45.00 kVA,70,,,,,12,,3,,
3589,Mayaca,Boco,Quillota,30549,San Martin Chacabuco,300.00 kVA,103,,1,,,22,,2,1,
3590,San Rafael,Centenario,Los Andes,42089,El Totoral_San Vicente,45.00 kVA,6,,,,,3,,2,,3
3591,Miraflores,Achupallas,Costa,23984,SED Ruben Dario,75.00 kVA,115,,,,,15,,8,,
3592,Quilpué,Freire,Marga Marga,21974,SED Condominios Serena,100.00 kVA,87,1,1,,,95,,5,,1
3593,Placeres,Polanco,valparaiso,10694,SED Robleria Cantera,75.00 kVA,96,,,,,29,,5,1,2
3594,Mayaca,Boco,Quillota,31725,Condominio Los Libertadores 3,150.00 kVA,137,,,,,5,,3,,
3595,Quilpué,Paso Hondo,Marga Marga,20516,Epsilon Urano,300.00 kVA,139,,,,,14,,2,,1
3596,Catemu,Catemu,Los Andes,42663,San Jose_Cementerio,15.00 kVA,14,,,,,2,,1,,1
3597,Catemu,Catemu,Los Andes,40357,Las Parcelas De Catemu,45.00 kVA,14,,,,,9,,4,,
3598,San Antonio,Aguas Buenas,San Antonio,51282,SED PALMERAS A SELKIRK,100.00 kVA,72,,,,,5,,2,,1
3599,Mayaca,Boco,Quillota,31148,S Loteo El Rodeo Boco 1,100.00 kVA,82,,,,,16,,5,,
3600,La Calera,La Palmilla,Quillota,30422,Los Bueyes Pocochay,45.00 kVA,34,,,,,6,,3,,
3601,Quilpué,Villa Alemana,Marga Marga,21805,SED Jardines del Sol 1,150.00 kVA,79,,,1,1,21,,2,1,1
3602,Peñablanca,El Rincón,Marga Marga,21906,Jerusalem Marata,45.00 kVA,79,,,,,13,,7,,
3603,San Sebastián,Cartagena,San Antonio,50504,SED LO ABARCA ORIENTE,45.00 kVA,16,,,,,9,,4,,1
3604,El Melón,Nogales,Quillota,30963,Puchuncavi_Las Romazas,30.00 kVA,6,,,,,15,,8,,2
3605,El Melón,Nogales,Quillota,30625,Cmno Huallacanal,15.00 kVA,14,,,,,1,,,,2
3606,El Melón,Pataguas,Quillota,30204,Collahue Panamericana,37.50 kVA,42,,,,,4,,2,,
3607,Playa Ancha,Tomás Ramos,valparaiso,10037,Camino Cintura Concordia,75.00 kVA,69,,,,,14,,8,2,2
3608,Placeres,Placeres,valparaiso,10972,Matta Jaraquemada,300.00 kVA,155,,,,,3,,2,,2
3609,Peñablanca,El Rincón,Marga Marga,20683,Los Maitenes Los Boldos,45.00 kVA,29,,,,,30,,1,,6
3610,San Rafael,Las Juntas,Los Andes,40561,Campos de Ahumada_Colegio,25.00 kVA,14,,,,,5,,,,2
3611,San Rafael,Las Juntas,Los Andes,42930,SED CAMUS_LAS GOLONDRINAS,45.00 kVA,14,,,,,8,,,,2
3612,Valparaíso,Uruguay,valparaiso,10479,La Ruda P. A. Cerda,75.00 kVA,59,,,,,10,,4,1,5
3613,Quilpué,Paso Hondo,Marga Marga,21402,Calle 3_ Las Barrancas,75.00 kVA,138,,,,,21,,2,,1
3614,San Pedro,Olmué,Quillota,30794,Los Manantiales,45.00 kVA,69,,,,,16,,1,1,
3615,San Felipe,Putaendo,Los Andes,42235,La Cruz_La Orilla,30.00 kVA,10,,,,,2,,2,1,1
3616,Placeres,Agua Santa,valparaiso,10652,SED Heroes del Mar Placeres,75.00 kVA,88,,,,,14,,9,1,1
3617,San Rafael,Los Andes,Los Andes,42621,Loteo Don Aurelio_Poniente,75.00 kVA,65,,,,,8,,1,,
3618,Quilpué,Paso Hondo,Marga Marga,21648,LOS ALAMOS-LOS CIPRESES,100.00 kVA,98,,,,,13,,5,1,
3619,San Rafael,Las Juntas,Los Andes,40054,Alessandri Norte,30.00 kVA,20,,,1,,34,,3,,4
3620,San Pedro,Pachacama,Quillota,31027,Le Febre La Cancha,10.00 kVA,18,,,,,3,,1,,1
3621,San Pedro,Pachacama,Quillota,30716,El Limonar 1,45.00 kVA,18,3,,,,11,,4,,
3622,Concón,Expreso RPC,Costa,20751,Las Gaviotas Lote10,100.00 kVA,12,,,,,18,,9,3,
3623,Catemu,Enami,Los Andes,42122,Loteo Gabriela Mistral Norte,45.00 kVA,55,,,,,10,,1,,
3624,Playa Ancha,La Pólvora,valparaiso,10422,Camino Las Docas Nº 2,45.00 kVA,26,,,,,54,,11,3,10
3625,San Pedro,Olmué,Quillota,31186,El Tebal Las Palmas,15.00 kVA,15,,,,,6,,4,1,
3626,San Antonio,San Juan,San Antonio,50665,Las Salinas San Ramon,30.00 kVA,17,,,,,19,,3,1,
3627,Mayaca,Pocochay,Quillota,31293,Fco Bilbao Manuel Rodriguez,45.00 kVA,25,,,,,4,,1,,1
3628,Placilla,Peñuelas,valparaiso,10732,Sexta del Sur Decima,150.00 kVA,122,,,,,6,,6,2,
3629,Miraflores,Salinas,Costa,22444,Circunvalacion Pomaire,75.00 kVA,112,,,,,11,,4,2,
3630,Bosquemar,Manatiales,Costa,23203,Blanca Estela - Montemar Poniente,300.00 kVA,45,,,,,1,,,,2
3631,Playa Ancha,La Pólvora,valparaiso,10090,Laguna Verde Uno,38.00 kVA,81,,,,,41,,13,1,
3632,Miraflores,Salinas,Costa,21248,E. Loayza Calafquen,45.00 kVA,47,,,,,26,,4,3,3
3633,Reñaca,Glorias Navales,Costa,22552,Lote 25,150.00 kVA,81,,,,,21,,3,4,
3634,La Calera,La Cruz,Quillota,30551,Callejon Faisanes,75.00 kVA,33,,,,,12,,3,,
3635,Reñaca,Jorge Montt,Costa,20165,Pob.J.Allard,150.00 kVA,127,,,,,20,,7,,
3636,San Antonio,San Juan,San Antonio,51283,SED LUIS CRUZ MARTINEZ LAS  PATAGUAS,100.00 kVA,21,,,,,7,,4,,
3637,Quilpué,El Sol,Marga Marga,23628,Lomas Verdes 1,100.00 kVA,32,,,,,23,,,,7
3638,Quilpué,El Carmen,Marga Marga,20668,Berlin Blanco,75.00 kVA,56,,,,,7,,4,1,2
3639,Quilpué,Paso Hondo,Marga Marga,20510,Almirante Grau Teniente Serrano,75.00 kVA,61,,,,,14,,5,,2
3640,Playa Ancha,La Pólvora,valparaiso,10072,Otaegui Avenida Norte,75.00 kVA,86,,,,,29,,9,1,1
3641,Panquehue,Panquehue,Los Andes,40621,Lo Blanco Cuncahue,30.00 kVA,14,,,,,8,,2,,
3642,La Calera,La Cruz,Quillota,31271,Sta Rosa Manuel de Cordova,45.00 kVA,41,,,,,7,,2,,1
3643,San Rafael,El Almendral,Los Andes,42889,Pergola_Cementerio,45.00 kVA,23,,1,,,5,,2,,4
